-0.0139173	-0.142997	0.92796	0.282377	-0.43072	-0.0346308
0.0220818	-0.0193853	0.9444	0.185909	-0.346649	-0.0369663
-0.150063	-0.050162	0.94076	0.348284	-0.280209	-0.0374849
0.219212	-0.0370372	0.94936	0.0241871	-0.466756	-0.0347131
0.143562	-0.183587	0.9302	0.170144	-0.550168	-0.0336376
0.254879	-0.203555	0.9312	0.0815009	-0.621173	-0.0319095
0.255106	-0.198662	0.93196	0.117857	0.0188471	0.359572
-0.0514768	-0.237503	0.921	0.363333	-0.490958	-0.0345906
0.0452363	-0.0678475	0.94156	0.188698	-0.395114	-0.0366346
-0.0911425	-0.0399975	0.94256	0.289109	-0.303371	-0.0370944
