1044.75 827.25 45	0.299603 -0.550498 -0.0337418
1023.75 653.25 207	0.230293 -0.417048 -0.035741
846.75 662.25 144	0.364852 -0.337765 -0.0358309
1265.25 798.75 126	0.124234 -0.631118 -0.0319298
1047.75 912.75 176	0.334462 -0.608739 -0.0313435
1098.75 716.25 168	0.205091 -0.491782 -0.0341091
1089.75 561.75 188	0.135691 -0.37915 -0.0369056
987.75 690.75 65	0.274097 -0.416138 0.021717
1289.25 792.75 104	0.113958 -0.615547 0.023179
